id	filename	md5	size	state
02755371-9072-4653-91cb-bf4916f893f5	TCGA-18-4083-01A-01-TS1.a0388938-dc73-4298-9e5a-b4db390cdff4.svs	d666ceb6545d09fe63d703d536932e93	22376713	live
0284e68a-60fe-4ee0-9852-d1a37ca71470	TCGA-91-6847-01A-01-BS1.42810728-6d6c-4116-bd23-71f502f4f6ed.svs	5cc94c0a93ae39cd2f4d08e8e01271ba	53467761	live
02b4f982-ba00-42db-ac23-ca8c325981ff	TCGA-50-6673-01A-01-TS1.155752fd-058d-4445-a361-0c59a4e9151c.svs	a1f9556a1d14cd26c344f09e35c70890	159850669	live
02bfec07-083f-4b52-b991-6a377313217a	TCGA-55-1596-01A-01-BS1.3bc1baf3-00ab-4b9c-bf3c-c49acab55d09.svs	ecbc1de117c88640b081f7a2d6575003	113895637	live
02c183f0-a8e1-4e61-af8f-9a1bfe1bb81a	TCGA-18-5592-01A-01-BS1.3c16b76c-4eb1-4494-8d52-308106914c44.svs	50cd742b0a87709b3f75627ae23f4015	54336015	live
02d5bb37-5a7d-4be1-a0a2-4883c523ca01	TCGA-66-2734-11A-01-BS1.b1ec7bfd-a8ae-4e7e-b281-ca14b6c87e4a.svs	9a9bf655318f0cb3476c87f5854e4d59	40240153	live
02f3f1d5-82ac-4beb-a867-ed56adbd82af	TCGA-55-7573-11A-01-TS1.efb9eb21-c1f8-4abf-be2e-3ecfee65c153.svs	cfe5a99063881231516f407663cd6018	45455583	live
0306ab6d-42e4-4a8c-b9e1-022ff80e492d	TCGA-98-A53A-01A-01-TS1.EADCFE65-613A-4C37-A034-C5B11D452D4F.svs	7f4ec53ef833107df888d3a469a414ed	163377901	live
03190aeb-e795-4293-9869-22d3556d15e9	TCGA-38-6178-01A-01-TS1.c7442dfa-81d0-4209-bb75-0783cd9c8974.svs	c0f64ed8aaee1ba525c970369b7f7783	177252625	live
03306059-13b9-42c7-acb6-45b92a39187c	TCGA-44-2666-11A-02-TS2.AF813A5E-5F00-40B8-B4B6-F72AF055B876.svs	fac1e36030fa08b1326f184e10a42e17	29677358	live
034c7355-4521-438d-abe5-505ad4b09bdb	TCGA-98-7454-01A-01-BS1.24ed6781-c8b4-40d7-95b4-afc046b5427c.svs	d4940a360d866abea70228637c158474	505362977	live
036f4c83-c48d-45d5-89bb-aca355f4e815	TCGA-95-7043-01A-01-BS1.ef0e9345-c695-481d-98f7-0bd114aef3e9.svs	e3911ce396b98048159ccc276dbc7c84	44984533	live
039e6bc4-3f01-4c21-8dff-825c0fa1325f	TCGA-44-6779-01A-01-TS1.3bb8f185-cd48-40ea-ab5e-53d63352a2d3.svs	eaafde0e3800f6270294145f408e9b05	126390133	live
03c73215-ba4f-46b7-a2c2-d77a861a86eb	TCGA-49-AAR2-01A-01-TSA.9ACD343C-772D-48E4-A994-4EDFC9C1C662.svs	f53421c20d8de16cf6a7ef72a2bb2f13	258594873	live
0405e56b-26b3-4305-a45f-86020385c08a	TCGA-69-A59K-01A-01-TSA.040BED20-3BB8-4027-9FBE-ECE7F02C4202.svs	4b447b6b51cd37a335e61a00df8aa857	379202059	live
0411cfff-4249-4065-a944-1bf627c9fb1c	TCGA-55-7903-01A-01-TS1.cd6764d6-ef02-419e-88b6-88cbfd54bff9.svs	5502bc94246ed585cb95881e1e2d7e63	89843419	live
0420a019-fe51-41cf-80a0-e58a6522d595	TCGA-60-2709-11A-01-TS1.bf09ee9b-fdfd-4e7b-8d33-e81ade81d885.svs	2ae0bf5a202e1999ce41b6f5c5cfc5b6	82323837	live
0448f486-e72c-464a-a76c-9a4c67f7633d	TCGA-43-7658-11A-01-TS1.9881be16-402b-4bff-8afa-1c25ec187779.svs	128f979f076ea3f6d14bb9574da60047	241624597	live
044d0d10-fbdf-42df-ab94-82f69c1d3213	TCGA-55-A491-01A-01-TS1.8EFE82A0-8DD2-430F-88D9-298C9959B6EE.svs	6394840cc20fa2796d8d84d4627a2630	92398606	live
04561c3f-224b-416a-8dce-c184bb9679f5	TCGA-66-2766-01A-01-TS1.d95c68ed-51d2-4fe5-8ee8-d60159d24350.svs	0f715fda66018ebbba7bf07464bd8c10	229781873	live
04c8ec25-c66e-45a8-8621-51c8ddbeab33	TCGA-49-4514-11A-01-BS1.03f1d9c6-b5a1-4201-8b61-2a81d8a79d80.svs	b5b5aac4fcc70c75eb9c435ce78cebc0	64753099	live
055b7809-d4df-4363-8917-cdc58e5469b1	TCGA-77-7335-11A-01-TS1.0a10f2df-c2fc-4d9f-851e-0fcc3fca7070.svs	f0bdc91a9e4dec2593c455b842abab45	39864607	live
057faec4-fb37-466d-913f-b14bbf87be1a	TCGA-58-A46K-01A-01-TSA.164D8DB3-27E4-4FF0-A177-D9133728CB05.svs	6165d4e412629ce14d586aeb7c85b6be	291978175	live
058d599f-d192-4ed8-983a-d3f8fa5330a5	TCGA-77-6842-11A-01-TS1.b3259620-51c6-4422-b16a-b0f86bebf2ce.svs	0edf76933fa284b9a16b54a7433d0fa2	123739725	live
0597d0ba-54e9-4927-b549-f7223d44b271	TCGA-96-7544-01A-01-BS1.4c78920d-ef0d-4263-8364-197d3f4e86a8.svs	6d3d4215306bed486596b304528a12e2	78578355	live
05e98444-148a-4926-9e3a-395de3fd86d1	TCGA-55-6981-01A-01-TS1.55bea1ae-e14c-4110-b913-719b19225f5b.svs	6b7e2ac0589946e101f0c45115acaa3b	78084905	live
